nick_name,wallet,purchased,first_name,last_name,email,affiliate,sold
,0xf1db627ec206c714d803b75aa481b5eba497cc0a,1,,,,0xe022385f32c6125823d09a714706d2c46f1ecf65,34
freehoogs.eth,0x896b6b09f2604f8da84ace6ae39c722f68e4e215,1,,,,0x2636d742c9797ef3552eb280a6a76f58fb6a8167,0
,0x535744fb404eebdaae92446c568e42ed618e5521,1,,,,,2
,0x60cddf209cc9fbca8399c0d23049039cc0e560cc,1,,,,0xf1db627ec206c714d803b75aa481b5eba497cc0a,2
,0x26e94bc23b6dc3d4c5811f2a23baeceac69f11ad,1,,,,0xe022385f32c6125823d09a714706d2c46f1ecf65,0
nftgamers2021,0xe8fcd4cd3551be6963a24ae5c6cc50825ec65629,1,,,,,0
Aerial,0xdf8f6a26180d739e09b5a2fa98de3eb4eb7394b3,1,,,,0xe0a971b0f748530c21cd0fb803c233e1df1250b6,0
,0x366a96930d05c72f2aafb0ea3162d95225575607,1,,,,0x8462ca38165b0fba2989c0d45a691eb112f2e314,0
Irihal,0x5786c74b346c34274db1f9ea5082c9db4581a671,1,,,,,0
,0xab44fd956f1fa27d4c84cdd3a21c3f529cc464a7,1,,,,,0
mkrem,0x2c8535927a7bc415cbfea3eead7c204cce25ed65,1,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
MrFlipit,0xbf885d3e646168c35df2aa9f516d3e9480b57eb4,1,,,,0x27405ff04efb2ad541871ef5daa288ef734370f0,13
,0x7e39e85e40eeb297b95d04df93a0bf778aeb82ad,1,,,,0x30b4241d3f888b9161280c131758747b8c381a5c,0
Sorchor_NP,0xa3078210f56f0dfff868d5a38e14be8c9c7974c9,1,,,,,0
SaulGoodman1,0xdb05c48ed45d36b22276bb42d794d0701773c891,1,,,,,0
,0x85b8f1dbe6264335189c69b4fac765252b724800,1,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
CitadelOfTheWind,0x4605ed5eb12cd5d08d24d6ab0ea6c30acf9f2020,1,,,,,0
two4ten,0x98625957c6b96eeecd040e5bd26bd42100d124b2,1,,,,,0
,0x1c089333923cd09af1d5dc28701f411634c933a1,1,,,,,0
,0xdc5e7b232c4527bd403fabe00c402288092b0f63,1,,,,,1
,0x9a160e0c61ff97486e92e58c8fd19fb2ad78ee35,1,,,,,0
,0x1d31c5c4451cd0d69dd44951c53baa5fbf02e7a4,1,,,,0xbf885d3e646168c35df2aa9f516d3e9480b57eb4,2
fonket,0xe2e7414744b031dd50781313f7f631e747872125,1,,,,,0
yoasoby.eth,0xd9b370b7b6b972cc3f09a6360b49304d1f23681f,1,,,,0xe022385f32c6125823d09a714706d2c46f1ecf65,0
,0xfe105ae13119b9063557d26d9e69574f9b30d8b3,1,,,,0x5f463250af2e94da621e18c2e7ea1067d67a707f,0
Herbenderbgala,0xbe6929514ae1c3f30df5d1f853f506fe78970654,1,,,,,0
,0xf6b3f6c224ea057526d69e80e8b6ae42484ed7fd,1,,,,,1
,0xbda16746375ca3ed0d029579404782f2ba0739f1,1,,,,0xf6b3f6c224ea057526d69e80e8b6ae42484ed7fd,0
,0x5e5ee95e7daa0ab2cb8cb789aff80504bc0eda6a,1,,,,0x3bcfc62903a513bf1007177849554075b3368db0,1
,0x62e5263abd0523b33bbd900bc93d3430c90f24eb,1,,,,0x5e5ee95e7daa0ab2cb8cb789aff80504bc0eda6a,0
PaymentsJason,0x82297f1256140dff4db35b6fa9503df472df2f78,1,,,,0xbf885d3e646168c35df2aa9f516d3e9480b57eb4,0
GalaCollector,0x056d8b882b00a268fc4e757305b5e433732160e1,1,,,,,0
,0x3c667efe06d7fed16aec76e62e3980a0915c46a9,1,,,,,0
,0xa89d88f0e77f45a734396fe444a1c0fcd19dd7a9,1,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
,0xa609403431acf1b6a9831e85f5feb485cc1b726e,1,,,,,32
,0x8177bc83df57eaa2630c3592a6cca2443b1cfb8a,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,6
,0xd5036302c4b09f64c81c07febc0956089f2078d6,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,1
,0x7d5b05196d3f0298dcc101e41f56a99627963785,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,8
,0x1f2d061c54d43971520449c99e76da8b4fb00b71,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,24
jolric,0x0aa055527685a6ee719bd75949ba5943527e8277,1,,,,,1
LashingTeezone,0xf573f3afa67efb45361434e6b69f48f122a3b00c,1,,,,0xbf885d3e646168c35df2aa9f516d3e9480b57eb4,0
,0x4680e41cad2596603d973a38cbcd77c7217967d9,1,,,,0xc6b7d80187dcc484668e32ee36ce8eae12cecf24,19
,0x5f157eaee8bbebc85aaeca69b24c6052f5bb0e8f,1,,,,0x1d31c5c4451cd0d69dd44951c53baa5fbf02e7a4,0
,0x847eb2b2e4d6d9333ad9794be36885da87f1bd30,1,,,,0xe4462eed4c224ed4f93ce1f918c4cb5072443546,0
,0xc6b7d80187dcc484668e32ee36ce8eae12cecf24,1,,,,,11
,0xfc2c0e2e432bc8af31e8e951de1d386a2de66a73,1,,,,0xd5036302c4b09f64c81c07febc0956089f2078d6,1
,0x2fc65758b8d37e7679b2ceadd3e950bee7ca2a7b,1,,,,0xfc2c0e2e432bc8af31e8e951de1d386a2de66a73,0
,0xd4c5f2101ac812f18614637f9e49a351fb3a56fe,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,0
Ninerball,0xe9a83089c6b5af2a8d4d00dc82ccf23ca7d9cd16,1,,,,,0
,0x76372ca7b93cdb8e46caa892d17b89caab5f5b0a,1,,,,0x11a52ae4d4e6d076f895ebc213d7600240eec6b0,0
,0xed1c6dfd160317fbef51fac0331c6383604db229,1,,,,0x1d31c5c4451cd0d69dd44951c53baa5fbf02e7a4,0
,0xb74b4180b4d4913411da26f41658acc3172b51c4,1,,,,0x6f496a1d8abc8c01a8bdd76b16cf9c8a0c6a528d,0
,0x772b0053852963c644e0686a4be5416b27c4f0fc,1,,,,0xd4bdb7a07108f3c3d0d84c5f799fd42a582f9e3a,0
,0x326d37fc62df668eca302e4290546b1960a82340,1,,,,0x7edbf87825d5a24244922c792844ed3aa531a879,0
,0x550e54d06d6526c32aa9f0c72332cb6eb9a12cf8,1,,,,0xf3375cfab6e2911cb905b366e913752e348beed3,0
,0x32875a6b8d000fa541fe46e62a4e14ffee13fb07,1,,,,0x2070dd16c423f1ef10b7f998e3b8f8b75616c500,0
,0xde207fed329bace9ad80f91ba092b193285807a1,1,,,,0x2636d742c9797ef3552eb280a6a76f58fb6a8167,0
,0x5b2f23246b0ced0be81f453ab933d8b16f2961b9,1,,,,0xdc5e7b232c4527bd403fabe00c402288092b0f63,0
von_humboldt,0x68a8a72eddde5714fcec94a36a70f15e54f0b3ce,1,,,,0xde6cff21012d0beb64774f5fbc2a00a1bc8a3fcd,0
,0x2d461fab01840d137893ae4ba258911ea8c5021f,1,,,,0x7f6db4f447676d52cc2fb2d3dc36bf4b33895759,0
,0x3a052facfbc1ee60d6e8fa73a4a74905fdb1b2df,1,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,5
,0x4655a7717d122c9f6e8f0ec7a11047f161d26f72,1,,,,0xde6cff21012d0beb64774f5fbc2a00a1bc8a3fcd,0
gamesin,0x42af29e15210706406cb326c256f8fe1bc14e7c5,1,,,,,0
,0xc09600e1d242a6d5eefbaf093b410c282c7ecf4e,1,,,,,0
,0x46f7abfacef08d291a82088237cb08ff38ebbabd,1,,,,,0
,0x52e40419a2a54b45d54cb0e4dd9a75a6ab97c8a0,1,,,,,0
,0x429f99f12c41583f705745318a0a3d549d8aabef,1,,,,,0
,0x3b56dec6b2eec1410230a79027f94dc761df41a5,1,,,,0xde6cff21012d0beb64774f5fbc2a00a1bc8a3fcd,0
,0xc6b90b83f701ad3ea9569abac072c7982a3fbdcd,1,,,,0x543d8db3d1a72e57355186b0ceb6d628dd5871ba,0
,0xe0b302214091fdb3d38d067b44074f47ae43fead,1,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
,0x46136ed17c9a883397c57eb4d56b1462f281cc31,1,,,,0xde6cff21012d0beb64774f5fbc2a00a1bc8a3fcd,0
,0x3c4a95e52ecf28ac085eb5b59d4d691778afda7a,1,,,,0x090f0a162fa59f360d4004e6146091ec5b0d06bd,0
,0x0ddc...fdea,1,,,,,0
,0xd5a2...a054,1,,,,,0
,0xeb64...8bb2,1,,,,,0
,0x2203...1ff0,1,,,,,0
,0xddc0...3522,1,,,,,0
,0xb5b4...d67b,1,,,,,0
,0x0867...e89e,1,,,,,0
,0x87b0...499d,1,,,,,0
,0x518d...7191,1,,,,,0
,0x9dbf...66ac,1,,,,,0
,0x5a26...4cc6,1,,,,,0
,0x621d...656c,1,,,,,0
,0xa824...fa45,1,,,,,0
,0x9199...f853,1,,,,,0
,0x07ca...987b,1,,,,,0
,0xd697fe2ce63e44714b4461a23c78acf3068363b6,1,,,,,0
